taxonID,identifier,description,creator,license,type,format,language
http://www.floraislands.is/vaccimyr.html,http://www.floraislands.is/HAPL/vaccimyr1b.jpg,"Blómstrað aðalbláberjalyng á Kirkjuskarði í Laxárdal, A. -Hún. árið 1995",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/vaccimyr.html,http://www.floraislands.is/HAPL/vaccimyr2b.jpg,Aðalbláberjalyng með bláum berjum á Svínárnesi á Látraströnd árið 1991,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/vaccimyr.html,http://www.floraislands.is/HAPL/vaccimyr3b.jpg,Aðalbláberjalyng með svörtum berjum á Svínárnesi á Látraströnd árið 1991,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/stellgra.html,http://www.floraislands.is/HAPL/stellgra2b.jpg,Akurarfi á Álftanesi árið 1982,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/stellgra.html,http://www.floraislands.is/HAPL/stellgra1b.jpg,Akurarfi myndar jafnan þéttar blómabreiður og vex oft í nokkuð miklu grasi. Myndin er tekin á Akureyri árið 1980.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lamiupur.html,http://www.floraislands.is/HAPL/lamiupur1b.jpg,Myndin af akurtvítönn er tekin á Álftanesi árið 1984,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lupinnoo.html,http://www.floraislands.is/HAPL/lupinnoo1b.jpg,Blómstrandi alaskalúpína í Leifsstaðabrúnum í Kaupangssveit árið 1994.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lupinnoo.html,http://www.floraislands.is/HAPL/lupinnoo2b.jpg,"Í Hrísey er lúpínan á góðri leið með að leggja undir sig allan norðurhluta eyjarinnar, og eyðir nær öllum gróðri í því landi sem hún fer yfir. Myndin er tekin árið 1998.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lupinnoo.html,http://www.floraislands.is/HAPL/lupinnoo3b.jpg,Þessi mynd er einnig frá norðurhluta Hríseyjar. Hér er lúpínan að verða komin niður að sjó yfir lyngmóana sem á þeirri leið eru. Leysingarvatn og regn flýta för hennar undan brekkunni.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lupinnoo.html,http://www.floraislands.is/HAPL/AN-16731.jpg,Hér má sjá fullþroskaða belgi lúpínunnar með nokkrum fræjum. Venjulega springa belgirnir undir nokkri spennu og þeyta fræjunum einn eða fleiri metra frá móðurplöntunni.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/salixala.html,http://www.floraislands.is/HAPL/salixala2b.jpg,"Blöðin á alaskavíðinum eru hvítlóhærð á neðra borði, og verður það mjög áberandi þegar blöðin feykjast til í stormi. Myndin var tekin á Arnarhóli í Eyjafirði sumarið 2004.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/salixala.html,http://www.floraislands.is/HAPL/salixala1b.jpg,Hér sjást kvenreklar alaskavíðisins á miðju sumri á mynd sem tekin var á Arnarhóli í Eyjafirði sumarið 2004.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/salixala.html,http://www.floraislands.is/HAPL/salixala5b.jpg,Hér sjást kvenreklar alaskavíðis blómstrandi að vorlagi á undan laufgun. Myndin er tekin á Arnarhóli í Eyjafirði 6. maí 2006.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/salixala.html,http://www.floraislands.is/HAPL/salixala4b.jpg,Einkennandi fyrir ársprota alaskavíðis á veturna og vorin er hversu mjúkhærðir og gildvaxnir þeir eru. Þekkist hann þannig vel frá öðrum víðitegundum á veturna. Myndin er tekin 5. marz 2006 á Arnarhóli í Eyjafirði.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/popultri.html,http://www.floraislands.is/HAPL/popultri1b.jpg,"Myndin af sprota alaskaaspar er tekin í Fífilgerði í Eyjafirði 21. júní 2005,",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/popultri.html,http://www.floraislands.is/HAPL/popultri3b.jpg,Myndir af karlreklum alaskaaspar eru teknar á Arnarhóli í Kaupangssveit 1. maí 2007,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/popultri.html,http://www.floraislands.is/HAPL/popultri7b.jpg,"Kvenblóm í návígi, tekið á sama stað 15. maí 2009.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/popultri.html,http://www.floraislands.is/HAPL/popultri10b.jpg,"Fullþroskaðir kvenreklar með fræjum og fræull, tekið á arnarhóli 16. júlí 2009.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/subulaqu.html,http://www.floraislands.is/HAPL/subulaqu1b.jpg,Myndin af alurt er tekin á Rangárvöllum árið 1986,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/mimulgut.html,http://www.floraislands.is/HAPL/mimulgut1b.jpg,"Myndin af apablómi er tekin á Þorvaldseyri undir Eyjafjöllum þann 30. júlí árið 2008, en þar vex hún meðfram læk.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/violaarv.html,http://www.floraislands.is/HAPL/violaarv1b.jpg,Myndin af arfafjólunni er tekin í skógarreit við Fossá í Hvalfirði 3. júní 2009,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/erysihie.html,http://www.floraislands.is/HAPL/erysehie1b.jpg,Myndin af aronsvendinum er tekin á Skútustöðum í Mývatnssveit 23. ágúst 1987,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/euphrfri.html,http://www.floraislands.is/HAPL/euphrfri1b.jpg,Myndin af augnfró er tekin í Jarðbaðshólum í Mývatnssveit í júní 1996,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/dactyglo.html,http://www.floraislands.is/HAPL/dactyglo1g.jpg,Myndin af axhnoðapunti er tekin árið 1985.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/luzulspi.html,http://www.floraislands.is/HAPL/luzulspi1g.jpg,Hér ber axhæru við himininní Þverdal í Aðalvík í ágúst 1980,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/stellals.html,http://www.floraislands.is/HAPL/stellals1b.jpg,Hér vex bakkaarfi innan um stórvaxið gras sem hann hefur stuðning af.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/stellals.html,http://www.floraislands.is/HAPL/stellals4b.jpg,"Til hægri á þessari mynd má sjá aldin bakkaarfans, sést betur með því að smella á myndina og stækka hana.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/stellals.html,http://www.floraislands.is/HAPL/stellals2b.jpg,Hér má sjá blóm bakkaarfans í návígi. Allar myndirnar eru teknar meðfram Hólmsá austan Reykjavíkur 29. júlí 2008,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/matrimar.html,http://www.floraislands.is/HAPL/matrimar4b.jpg,"Baldursbrá í fjörunni við Sörlaskjól í Reykjavík, 18. júlí 2011.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/matrimar.html,http://www.floraislands.is/HAPL/matrimar6b.jpg,Hér sjást körfur baldursbrárinnar á mynd sem tekin var við Tirðilmýri á Snæfjallaströnd 20. júlí 2004.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/matrimar.html,http://www.floraislands.is/HAPL/matrimar5b.jpg,"Þessi mynd sýnir algenga vansköpun baldursbrár, sem orsakar flata stöngla og teygðar blómkörfur",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/coelovir.html,http://www.floraislands.is/HAPL/coelovir2g.jpg,Myndin af barnarót er tekin innst í Bleiksmýrardal árið 1975.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/coelovir.html,http://www.floraislands.is/HAPL/coelovir1g.jpg,"Hér sjást blóm barnarótarinnar í návígi, svo vel má greina lögun neðri vararinnar. Myndin er tekin í Hækingsdal í Kjós árið 1985",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/lathyjap.html,http://www.floraislands.is/HAPL/lathyjap1b.jpg,Myndin af baunagrasi er tekin á Suðurlandi árið 1983,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/calluvul.html,http://www.floraislands.is/HAPL/calluvul1b.jpg,Myndin af beitilynginu er tekin í nágrenni Reykjavíkur árið 1982,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/calluvul.html,http://www.floraislands.is/HAPL/calluvul2b.jpg,"Hér sést beitilyng í návígi, mynd frá Gásum í Eyjafirði 13. ágúst 2006.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/carpanic.html,http://www.floraislands.is/HAPL/carpanic1g.jpg,Myndin af öxum belgjastararinnar er tekin í nágrenni Reykjavíkur árið 1982,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/saxifpan.html,http://www.floraislands.is/HAPL/saxifpan1b.jpg,Hér sést bergsteinbrjótur í klettagili ofan við Lýsuhól á Snæfellsnesi árið 1985,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/saxifpan.html,http://www.floraislands.is/HAPL/saxifpan2b.jpg,Bergsteinbrjótur utan í klettavegg á Gljúfraborg við Breiðdalsvík 6. júlí 2012.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/deschber.html,http://www.floraislands.is/HAPL/deschber1g.jpg,Hér sést toppur af beringspunti sem óx fram með þjóðveginum yfir Fljótsheiði sumarið 2003,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/deschber.html,http://www.floraislands.is/HAPL/deschber2g.jpg,Hér sést puntur beringspuntsins í návígi. Myndin er tekin á Fljótsheiði sumarið 2003.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/betulpub.html,http://www.floraislands.is/HAPL/betulpub1b.jpg,Hér fyrir ofan sést mynd af birkigrein með blómstrandi kvenreklum. Rauði liturinn stafar af frænunum.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/betulpub.html,http://www.floraislands.is/HAPL/betulpub2b.jpg,"Þessi mynd sýnir einn karlrekil úti á enda greinar, en nokkrir kvenreklar sjást lengra til hægri. Báðar myndirnar hér að ofan eru teknar á Arnarhóli í Kaupangssveit árið 1963.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/betulpub.html,http://www.floraislands.is/HAPL/betulpub3b.jpg,"Hér má sjá birkiboli með brúnum berki, en á myndinni fyrir neðan er bolur með hvítum berki. Báðar eru teknar í Leifsstaðabrúnum í Kaupangssveit.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/betulpub.html,http://www.floraislands.is/HAPL/betulpub4b.jpg,,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/violaepi.html,http://www.floraislands.is/HAPL/violaepi2b.jpg,Hér er blómstruð birkifjóla snemma að vori á Kálfaströnd í Mývatnssveit 18. júní 2006.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/violaepi.html,http://www.floraislands.is/HAPL/violaepi1b.jpg,"Þessi mynd af birkifjólunni er einnig tekin í Mývatnssveit, en 23 árum fyrr, eða 1983.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/heracman.html,http://www.floraislands.is/,,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/carmarit.html,http://www.floraislands.is/HAPL/carmarit1g.jpg,Hér sjáum við bjúgstör í sandi í Surtsey árið 1994. Stráin eru bogsveigð og öxin liggja niðri í sandinum.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/pyrolgra.html,http://www.floraislands.is/HAPL/pyrolgra5b.jpg,Myndin af blómstrandi bjöllulilju er tekin í hlíðinni ofan við Hjaltastaði í Köldukinn þann 28. júní 2009,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/pyrolgra.html,http://www.floraislands.is/HAPL/pyrolgra4b.jpg,"Hér er svo nærmynd af hinu gullfallega blómi bjölluliljunnar, tekin við sama tækifæri.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/pyrolgra.html,http://www.floraislands.is/HAPL/pyrolgra3b.jpg,Hér er bjölluliljan með þroskuð aldini í Neslöndum við Mývatn 21. ágúst 2008.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/vacciuli.html,http://www.floraislands.is/HAPL/vacciuli1b.jpg,Myndin af blómum bláberjalyngs er tekin í Asparvík á Ströndum 24. júlí 1988,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/vacciuli.html,http://www.floraislands.is/HAPL/vacciuli3b.jpg,Myndin af þroskuðum bláberjum er tekin á Jafnaskarði í Borgarfirði 11. sept. árið 1987,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/vacciuli.html,http://www.floraislands.is/HAPL/vacciuli4b.jpg,"Hér sjást óþroskuð bláber, grænjaxlar. Myndin er tekin í Leifsstaðabrúnum í Kaupangssveit 5. ágúst 2005.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/geransyl.html,http://www.floraislands.is/HAPL/geransyl1b.jpg,Myndin af blágresinu hér að ofan er tekin í Eyjafirði árið 1963.,Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/geransyl.html,http://www.floraislands.is/HAPL/geransyl2b.jpg,"Nærmynd af blómi blágresisins, tekin í Asparvík á Ströndum árið 1988.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
http://www.floraislands.is/geransyl.html,http://www.floraislands.is/HAPL/AN-16756.jpg,"Hér má sjá hin sérkennilegu aldini blágresins sem spretta út í fimm arma stjörnu þegar þau þroskast, og þeyta um leið út fræjunum. Myndin er tekin í Kúalækjargili í Kaupangssveit í ágúst 2004.",Hörður Kristinsson,Unknown,StillImage,image/jpg,is
