taxonID,identifier,description,creator,language,license
floraislands.is/vaccimyr.html,floraislands.is/HAPL/vaccimyr1b.jpg,"Blómstrað aðalbláberjalyng á Kirkjuskarði í Laxárdal, A. -Hún. árið 1995",Hörður Kristinsson,is,Unknown
floraislands.is/vaccimyr.html,floraislands.is/HAPL/vaccimyr2b.jpg,Aðalbláberjalyng með bláum berjum á Svínárnesi á Látraströnd árið 1991,Hörður Kristinsson,is,Unknown
floraislands.is/vaccimyr.html,floraislands.is/HAPL/vaccimyr3b.jpg,Aðalbláberjalyng með svörtum berjum á Svínárnesi á Látraströnd árið 1991,Hörður Kristinsson,is,Unknown
floraislands.is/stellgra.html,floraislands.is/HAPL/stellgra2b.jpg,Akurarfi á Álftanesi árið 1982,Hörður Kristinsson,is,Unknown
floraislands.is/stellgra.html,floraislands.is/HAPL/stellgra1b.jpg,Akurarfi myndar jafnan þéttar blómabreiður og vex oft í nokkuð miklu grasi. Myndin er tekin á Akureyri árið 1980.,Hörður Kristinsson,is,Unknown
floraislands.is/lamiupur.html,floraislands.is/HAPL/lamiupur1b.jpg,Myndin af akurtvítönn er tekin á Álftanesi árið 1984,Hörður Kristinsson,is,Unknown
floraislands.is/lupinnoo.html,floraislands.is/HAPL/lupinnoo1b.jpg,Blómstrandi alaskalúpína í Leifsstaðabrúnum í Kaupangssveit árið 1994.,Hörður Kristinsson,is,Unknown
floraislands.is/lupinnoo.html,floraislands.is/HAPL/lupinnoo2b.jpg,"Í Hrísey er lúpínan á góðri leið með að leggja undir sig allan norðurhluta eyjarinnar, og eyðir nær öllum gróðri í því landi sem hún fer yfir. Myndin er tekin árið 1998.",Hörður Kristinsson,is,Unknown
floraislands.is/lupinnoo.html,floraislands.is/HAPL/lupinnoo3b.jpg,Þessi mynd er einnig frá norðurhluta Hríseyjar. Hér er lúpínan að verða komin niður að sjó yfir lyngmóana sem á þeirri leið eru. Leysingarvatn og regn flýta för hennar undan brekkunni.,Hörður Kristinsson,is,Unknown
floraislands.is/lupinnoo.html,floraislands.is/HAPL/AN-16731.jpg,Hér má sjá fullþroskaða belgi lúpínunnar með nokkrum fræjum. Venjulega springa belgirnir undir nokkri spennu og þeyta fræjunum einn eða fleiri metra frá móðurplöntunni.,Hörður Kristinsson,is,Unknown
floraislands.is/salixala.html,floraislands.is/HAPL/salixala2b.jpg,"Blöðin á alaskavíðinum eru hvítlóhærð á neðra borði, og verður það mjög áberandi þegar blöðin feykjast til í stormi. Myndin var tekin á Arnarhóli í Eyjafirði sumarið 2004.",Hörður Kristinsson,is,Unknown
floraislands.is/salixala.html,floraislands.is/HAPL/salixala1b.jpg,Hér sjást kvenreklar alaskavíðisins á miðju sumri á mynd sem tekin var á Arnarhóli í Eyjafirði sumarið 2004.,Hörður Kristinsson,is,Unknown
floraislands.is/salixala.html,floraislands.is/HAPL/salixala5b.jpg,Hér sjást kvenreklar alaskavíðis blómstrandi að vorlagi á undan laufgun. Myndin er tekin á Arnarhóli í Eyjafirði 6. maí 2006.,Hörður Kristinsson,is,Unknown
floraislands.is/salixala.html,floraislands.is/HAPL/salixala4b.jpg,Einkennandi fyrir ársprota alaskavíðis á veturna og vorin er hversu mjúkhærðir og gildvaxnir þeir eru. Þekkist hann þannig vel frá öðrum víðitegundum á veturna. Myndin er tekin 5. marz 2006 á Arnarhóli í Eyjafirði.,Hörður Kristinsson,is,Unknown
floraislands.is/popultri.html,floraislands.is/HAPL/popultri1b.jpg,"Myndin af sprota alaskaaspar er tekin í Fífilgerði í Eyjafirði 21. júní 2005,",Hörður Kristinsson,is,Unknown
floraislands.is/popultri.html,floraislands.is/HAPL/popultri3b.jpg,Myndir af karlreklum alaskaaspar eru teknar á Arnarhóli í Kaupangssveit 1. maí 2007,Hörður Kristinsson,is,Unknown
floraislands.is/popultri.html,floraislands.is/HAPL/popultri7b.jpg,"Kvenblóm í návígi, tekið á sama stað 15. maí 2009.",Hörður Kristinsson,is,Unknown
floraislands.is/popultri.html,floraislands.is/HAPL/popultri10b.jpg,"Fullþroskaðir kvenreklar með fræjum og fræull, tekið á arnarhóli 16. júlí 2009.",Hörður Kristinsson,is,Unknown
floraislands.is/subulaqu.html,floraislands.is/HAPL/subulaqu1b.jpg,Myndin af alurt er tekin á Rangárvöllum árið 1986,Hörður Kristinsson,is,Unknown
floraislands.is/mimulgut.html,floraislands.is/HAPL/mimulgut1b.jpg,"Myndin af apablómi er tekin á Þorvaldseyri undir Eyjafjöllum þann 30. júlí árið 2008, en þar vex hún meðfram læk.",Hörður Kristinsson,is,Unknown
floraislands.is/violaarv.html,floraislands.is/HAPL/violaarv1b.jpg,Myndin af arfafjólunni er tekin í skógarreit við Fossá í Hvalfirði 3. júní 2009,Hörður Kristinsson,is,Unknown
floraislands.is/erysihie.html,floraislands.is/HAPL/erysehie1b.jpg,Myndin af aronsvendinum er tekin á Skútustöðum í Mývatnssveit 23. ágúst 1987,Hörður Kristinsson,is,Unknown
floraislands.is/euphrfri.html,floraislands.is/HAPL/euphrfri1b.jpg,Myndin af augnfró er tekin í Jarðbaðshólum í Mývatnssveit í júní 1996,Hörður Kristinsson,is,Unknown
floraislands.is/dactyglo.html,floraislands.is/HAPL/dactyglo1g.jpg,Myndin af axhnoðapunti er tekin árið 1985.,Hörður Kristinsson,is,Unknown
floraislands.is/luzulspi.html,floraislands.is/HAPL/luzulspi1g.jpg,Hér ber axhæru við himininní Þverdal í Aðalvík í ágúst 1980,Hörður Kristinsson,is,Unknown
floraislands.is/stellals.html,floraislands.is/HAPL/stellals1b.jpg,Hér vex bakkaarfi innan um stórvaxið gras sem hann hefur stuðning af.,Hörður Kristinsson,is,Unknown
floraislands.is/stellals.html,floraislands.is/HAPL/stellals4b.jpg,"Til hægri á þessari mynd má sjá aldin bakkaarfans, sést betur með því að smella á myndina og stækka hana.",Hörður Kristinsson,is,Unknown
floraislands.is/stellals.html,floraislands.is/HAPL/stellals2b.jpg,Hér má sjá blóm bakkaarfans í návígi. Allar myndirnar eru teknar meðfram Hólmsá austan Reykjavíkur 29. júlí 2008,Hörður Kristinsson,is,Unknown
floraislands.is/matrimar.html,floraislands.is/HAPL/matrimar4b.jpg,"Baldursbrá í fjörunni við Sörlaskjól í Reykjavík, 18. júlí 2011.",Hörður Kristinsson,is,Unknown
floraislands.is/matrimar.html,floraislands.is/HAPL/matrimar6b.jpg,Hér sjást körfur baldursbrárinnar á mynd sem tekin var við Tirðilmýri á Snæfjallaströnd 20. júlí 2004.,Hörður Kristinsson,is,Unknown
floraislands.is/matrimar.html,floraislands.is/HAPL/matrimar5b.jpg,"Þessi mynd sýnir algenga vansköpun baldursbrár, sem orsakar flata stöngla og teygðar blómkörfur",Hörður Kristinsson,is,Unknown
floraislands.is/coelovir.html,floraislands.is/HAPL/coelovir2g.jpg,Myndin af barnarót er tekin innst í Bleiksmýrardal árið 1975.,Hörður Kristinsson,is,Unknown
floraislands.is/coelovir.html,floraislands.is/HAPL/coelovir1g.jpg,"Hér sjást blóm barnarótarinnar í návígi, svo vel má greina lögun neðri vararinnar. Myndin er tekin í Hækingsdal í Kjós árið 1985",Hörður Kristinsson,is,Unknown
floraislands.is/lathyjap.html,floraislands.is/HAPL/lathyjap1b.jpg,Myndin af baunagrasi er tekin á Suðurlandi árið 1983,Hörður Kristinsson,is,Unknown
floraislands.is/calluvul.html,floraislands.is/HAPL/calluvul1b.jpg,Myndin af beitilynginu er tekin í nágrenni Reykjavíkur árið 1982,Hörður Kristinsson,is,Unknown
