taxonRemarks,taxonID,scientificName,vernacularName,language
Flowering plants,floraislands.is/vaccimyr.html,Vaccinium myrtillus,Aðalbláberjalyng,is
Flowering plants,floraislands.is/stellgra.html,Stellaria graminea,Akurarfi,is
Flowering plants,floraislands.is/lamiupur.html,Lamium purpureum,Akurtvítönn,is
Flowering plants,floraislands.is/lupinnoo.html,Lupinus nootkatensis,Alaskalúpína,is
Flowering plants,floraislands.is/salixala.html,Salix alaxensis,Alaskavíðir,is
Flowering plants,floraislands.is/popultri.html,Populus trichocarpa,Alaskaösp,is
Flowering plants,floraislands.is/subulaqu.html,Subularia aquatica,Alurt,is
Flowering plants,floraislands.is/mimulgut.html,Mimulus guttatus,Apablóm,is
Flowering plants,floraislands.is/violaarv.html,Viola arvensis,Arfafjóla,is
Flowering plants,floraislands.is/erysihie.html,Erysimum strictum,Aronsvöndur,is
Flowering plants,floraislands.is/euphrfri.html,Euphrasia frigida,Augnfró,is
Flowering plants,floraislands.is/dactyglo.html,Dactylis glomerata,Axhnoðapuntur,is
Flowering plants,floraislands.is/luzulspi.html,Luzula spicata,Axhæra,is
Flowering plants,floraislands.is/stellals.html,Stellaria alsine,Bakkaarfi,is
Flowering plants,floraislands.is/matrimar.html,Tripleurospermum maritimum,Baldursbrá,is
Flowering plants,floraislands.is/coelovir.html,Coeloglossum viride,Barnarót,is
Flowering plants,floraislands.is/lathyjap.html,Lathyrus japonicus,Baunagras,is
Flowering plants,floraislands.is/calluvul.html,Calluna vulgaris,Beitilyng,is
Flowering plants,floraislands.is/carpanic.html,Carex panicea,Belgjastör,is
Flowering plants,floraislands.is/saxifpan.html,Saxifraga paniculata,Bergsteinbrjótur,is
Flowering plants,floraislands.is/deschber.html,Deschampsia beringensis,Beringspuntur,is
Flowering plants,floraislands.is/betulpub.html,Betula pubescens,Birki,is
Flowering plants,floraislands.is/violaepi.html,Viola epipsila,Birkifjóla,is
Flowering plants,floraislands.is/heracman.html,Heracleum mantegazzianum,Bjarnarkló,is
Flowering plants,floraislands.is/carmarit.html,Carex maritima,Bjúgstör,is
Flowering plants,floraislands.is/pyrolgra.html,Pyrola grandiflora,Bjöllulilja,is
Flowering plants,floraislands.is/vacciuli.html,Vaccinium uliginosum,Bláberjalyng,is
Flowering plants,floraislands.is/geransyl.html,Geranium sylvaticum,Blágresi,is
Flowering plants,floraislands.is/elymuala.html,Elymus kronokensis subsp. borealis,Bláhveiti,is
Flowering plants,floraislands.is/camparot.html,Campanula rotundifolia,Bláklukka,is
Flowering plants,floraislands.is/phyllcoe.html,Phyllodoce caerulea,Bláklukkulyng,is
Flowering plants,floraislands.is/prunevul.html,Prunella vulgaris,Blákolla,is
Flowering plants,floraislands.is/mertemar.html,Mertensia maritima,Blálilja,is
Flowering plants,floraislands.is/lomatrot.html,Lomatogonium rotatum,Blástjarna,is
Flowering plants,floraislands.is/poaglauc.html,Poa glauca,Blásveifgras,is
Flowering plants,floraislands.is/seslealb.html,Sesleria albicans,Blátoppa,is
Flowering plants,floraislands.is/carcurta.html,Carex canescens,Blátoppastör,is
Flowering plants,floraislands.is/festuviv.html,Festuca vivipara,Blávingull,is
Flowering plants,floraislands.is/hierastc.html,Hieracium stictophyllum,Blettafífill,is
Flowering plants,floraislands.is/polygavi.html,Polygonum aviculare,Blóðarfi,is
Flowering plants,floraislands.is/thymupra.html,Thymus praecox subsp. arcticus,Blóðberg,is
Flowering plants,floraislands.is/sanguoff.html,Sanguisorba officinalis,Blóðkollur,is
Flowering plants,floraislands.is/junctrig.html,Juncus triglumis,Blómsef,is
Flowering plants,floraislands.is/popultre.html,Populus tremula,Blæösp,is
Flowering plants,floraislands.is/potamnat.html,Potamogeton natans,Blöðkunykra,is
